id,split,V,A,D,text,V_GPT,A_GPT,D_GPT
Nathans_Bylichka_36586_36605,train,3,3.2,3,‘What did you say?’,5,6,7
wsj_2465_3811_3880,train,2.44,3.56,2.67,The struggle against the drug lords in Colombia will be a near thing.,3,6,4
Uprooted_Farming-on-Sand_4903_4921,test,3.2,2.9,3,would be heathier.,5,1,5
Nathans_Bylichka_55435_55533,train,2.62,3.5,2.63,"The blade lodged in the wood, its silver point penetrating the velvet and nearly reaching my skin.",2,7,3
NYTnewswire5_1262_1329,train,3,2.9,3.1,"When young, the flavor is relatively mild, with a fresh, sour note.",6,2,5
hotel-california_30229_30259,test,3,2.8,3,"“She doesn't drink, remember?”",5,3,3
Ant_Robot_36734_36816,train,3.09,2.55,3,"Younger ants work more inside the nest, and older ants work more outside the nest.",5,2,5
Ant_Robot_8373_8595,test,3,3.3,3.1,"The sonar will constantly be detecting nearby objects and initiate an escape maneuver when their inputs pass a certain threshold of stimulation, and the bump sensors will, when depressed, also initiate the escape function.",5,3,7
Bartok_22435_22598,train,3,3,3,"It is worth pointing out that the arrival on G at measure 425 is led into by D, which constitutes another “filling in” of the whole-step by the intervening fourth.",5,3,5
Anti-Terrorist_2032_2130,train,2,3,2.8,"The fact is, Bush policies have failed completely even to diminish terrorism, much less defeat it.",2,5,7
WhatToHongKong_7521_7539,train,3,2.54,3,China (Porcelain).,5,1,5
20000410_nyt-NEW_1374_1422,train,3,2.71,3,Hall is to return to Washington on April 22.,5,5,5
Nathans_Bylichka_41518_41558,train,3.8,3.8,3,"She laughed, liquid, alluring, alarming.",6,7,6
hotel-california_2436_2488,train,3,2.7,3.3,(I reserved the right to revise this opinion later.),5,3,5
captured_moments_24517_24546,dev,3.37,3,3.27,"""She thinks you are a genius.",8,5,6
HistoryLasVegas_15575_15783,train,3.29,3.29,3.14,He bought several Strip properties — the Silver Slipper and Castaways among them — and demolished them to make way for a new kind of resort — Mirage —  which became an instant success.,7,5,8
captured_moments_32472_32484,train,3.5,3.12,3.12,"""Very well.""",5,3,5
defenders5_862_976,train,2.6,3.2,2.9,"But they did, overriding Governor Tony Knowles’ veto — and ignoring the will of the majority of Alaska’s citizens.",1,7,8
easy_money_6556_6680,train,2.4,2.9,2.6,"I was having serious cash flow issues back then and had payments to make, so I said, ""yes,"" but my patience was running out.",3,6,3
SemEval_1322,train,3.14,3.29,3,Malaysia aggressively wooing tourists,6,6,7
captured_moments_18970_19035,train,3.1,3.3,3,"""A great artist will grace this world, then?""",7,5,6
hotel-california_23897_23916,train,3,3,3,I hazarded a guess.,5,3,3
NWF1_3284_3432,train,3.1,3.1,3.1,Our magazine is a great way to stay informed on the current issues affecting wildlife and see what NWF is doing to find solutions to these problems.,8,3,6
lw1_2047_2206,train,3,2.88,3.12,"She watched the psi bob her head, unaware of the rest of the bridge, shaking blonde curls as she chattered away with the approaching psi relay on Mason's ship.",5,3,3
NYTnewswire5_1031_1103,train,3.3,3.3,3.3,"Right now, some particularly nice ones are in Bay Area farmers' markets.",7,3,5
Black_and_white_7585_7779,test,3.2,3,3.5,"We have superceded both the ‘brown’ of decadence and classiscm and the ‘blue’ of divisionism, the cult of the blue ky, the gods with green beards and the spectrum.",5,5,9
WhereToHongKong_2939_3090,dev,3,2.5,3.5,"The rival Hong Kong and Shanghai Bank is by architect Norman Foster; built on a “coathanger frame,” its floors hang rather than ascend.",5,5,5
sucker_2600_2655,train,2.88,3,2.88,I wonder why they didn't present their books as novels.,5,3,3
HistoryLasVegas_1512_1663,train,3.25,2.88,3.25,"Far more progressive than the Archaics, the Anasazi utilized such formal agricultural techniques as irrigation to assist their harvest.",5,3,6
A_defense_of_Michael_Moore_10681_10849,train,3,3,3,The NRA was fully aware of the scandal it would cause through its rally and decided to push on because they believed to have enough media support to successfully do so.,2,6,8
The_Black_Willow_8012_8120,train,3.12,3.25,3.12,"""You might find that some time in an honest occupation would ground you somewhat, improve your disposition.""",3,3,7
Ohio_Steel_17349_17457,train,2.7,2.9,3.1,"Two blocks over one finds Boardman, a well-off township with a reputation for rich but unsuccessful schools.",5,3,5
wwf12_3287_3399,train,3.5,3.3,3.6,"However, I’m confident that by joining together again, we can make exciting progress in the year ahead.",8,6,7
defenders5_2829_2926,test,2.6,3.4,2.8,"And if history is any guide, over the years thousands of Alaska’s wolves will be brutally killed.",1,7,2
guidedogs1_1952_1996,dev,3,3,2.8,A world I thought I would never have again.”,3,6,2
Uprooted_Bike_4316_4386,dev,3.3,3.2,3.2,Bikes are cheap: you can get one at your local thrift store for $5-50.,6,3,5
littleshelter2_1082_1205,train,2.6,3.1,3,"homeless animals that would otherwise die if Little Shelter didn’t provide the care, treatment and love these animals need.",3,7,2
appalachian1_5690_5839,train,3.44,3.22,3.44,Pursue your special interests or prepare yourself for a variety of recreational activities and/or conservation projects by attending an AMC Workshop:,7,3,6
SemEval_717,train,3,2.9,3,Passing exchange becomes political flashpoint,5,6,5
Tupelo-Honey-Cafe_2324_2535,train,3.2,3.1,3.2,"The potatoes were light and un-greasy; the flavors were perfectly balanced; the chicken was juicy and rich; and let's be honest here, I'm always happier eating dead animals when I know they've lived a good life.",8,3,5
Ohio_Steel_5842_5990,dev,2.6,3,2.9,"The announcement of the closing of the mills in 1977 was the beginning of a downward spiral, which would send the entire valley into chaos and ruin.",1,7,2
Homosexuality_3259_3549,train,2.9,3.2,3,"He became known as one of the founding fathers of sexology, and furthered this position when he opened the world’s first sexological institute, the institute for Sexual Science in Berlin, in 1919, which was destroyed by the Nazis 15 years later.",3,5,7
SemEval_24,train,3.1,3.2,3.1,Hurricane Paul Weakens To Tropical Storm,5,5,5
detroit_13598_13622,train,3.4,3.9,3.3,The dark horse rides on!,5,6,7
SemEval_967,train,3.7,3.6,3.1,Blog: Here come the Globes!,5,5,5
110CYL068_1475_1558,train,3.6,3.3,3.8,Coming to Goodwill was the first step toward my becoming totally independent.,8,6,7
blog-monastery_3154_3251,train,3,2.75,2.92,She said philosophy and epistemology were doing it right: looking at experiences from the inside.,5,3,5
wsj_1640_2151_2462,dev,2.9,2.6,3.2,"One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies.",3,5,5
captured_moments_27535_27560,train,3.5,3.12,3,""" --was kindly received,""",7,3,3
SemEval_78,test,1.57,3,2.57,"Bangladesh ferry sinks, 15 dead",1,7,5
The_Black_Willow_7386_7535,train,2.6,3.1,3,"It's hard enough listening to your wild speech without seeing it appear in the refined world of print, like a surly foreigner among a genteel crowd.""",2,6,3
detroit_13509_13515,train,3,3.09,3,China?,5,5,5
Fermentation_Eminent-Domain_4213_4252,train,3,2.83,3.33,They legally could...if they wanted to.,5,3,5
wsj_0157_474_649,train,3.1,2.7,2.9,"The El Paso, Texas, maker of Western boots and leather accessories said the preferred stock would accrue dividends at a 12% rate, but wouldn't be paid for the first two years.",5,3,5
Nathans_Bylichka_45828_45925,train,2.8,3.2,2.9,"She gasped and the dark glow went out, taking the blood with it in a flash of heat and red steam.",3,7,2
NYTnewswire9_2095_2260,train,2.64,3.18,2.91,"Japan surrendered within days of the detonation of the atomic bombs that killed 140,000 people in Hiroshima on Aug. 6, 1945, and 70,000 in Nagasaki three days later.",1,6,6
wsj_0120_1962_2091,train,3.2,3.1,2.9,"But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.",5,5,5
Black_and_white_12046_12299,train,3,3.11,3.11,"The same goes with white walls, in their impeccability it proved to whoever, that the owner could afford to not live actually live in this space, or could afford more simply for the upkeep and constant fresh coats of paint.",5,3,6
112C-L016_1118_1197,train,3,3,3.14,We would like to have families matched with sponsors non later than xxxx.,5,3,5
SemEval_1339,train,3.5,3.4,3.2,Malaysia launches tourism campaign,5,3,5
hotel-california_137_227,train,2.43,3.14,2.86,"So when my shuttle malfunctioned and the airlocks didn't keep the air in, I heard nothing.",1,7,2
Nathans_Bylichka_3531_3576,train,3.8,3.8,3.5,Even the city feels alive when spring comes.”,8,6,5
blog-new-year's-resolutions_3742_3818,train,3,3.1,3.2,The people who believed that self-control is fixed were unaffected by order.,5,3,5
A_defense_of_Michael_Moore_8943_8965,train,3,3,3,3) Denver NRA meeting.,5,5,5
NYTnewswire9_6892_6994,train,2.8,2.8,2.7,Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening.,3,5,5
blog-monastery_2160_2165,train,3,2.7,3,"""So,""",5,3,5
audubon1_6107_6133,dev,3.22,3,3.11,Audubon restores wetlands.,7,3,7
HistoryLasVegas_1664_1837,train,3.1,2.9,3,This permitted the Anasazi to achieve a benchmark of advanced society — the ability to live in permanent shelters year-round without need to follow wildlife.,6,3,6
cable_spool_fort_217_327,train,3,2.9,3.1,"Roy stooped to pick up a big, white caliche rock that looked like a dirty lump of chalk and handed it to Chad.",5,3,3
defenders5_5906_5924,train,2.9,3.2,3.4,“get-out-the-vote”,5,5,5
The_Black_Willow_9289_9344,dev,3,3,3.22,"""how goes life for the quintessential American author?""",5,3,5
blog-monastery_2568_2593,train,3,3,3,Knowing and understanding,6,3,5
